Model,MAE,MSE,RMSE,R2,Training Time (seconds)
Random Forest,1132.9922456722716,8000335.05421898,2828.4863539036173,0.8799318226854592,2.848320245742798
Gradient Boosting,1247.4854501726718,7310638.843225445,2703.819306689233,0.8902827100412417,0.7146742343902588
Decision Tree,1443.8801071580428,14033100.474993594,3746.0780124009157,0.789392721094131,0.5750992298126221
Linear Regression,2029.8019790224414,14165991.0090431,3763.773506607843,0.7873983140977308,2.613142490386963
